,mae,val_mae
0,0.17820604145526886,0.07165215909481049
1,0.05506272241473198,0.07791349291801453
2,0.04782801866531372,0.08041483908891678
3,0.04687512665987015,0.08289894461631775
4,0.04724685475230217,0.0888376235961914
5,0.046285077929496765,0.06959550082683563
6,0.044552795588970184,0.07135690003633499
7,0.04596405848860741,0.09946441650390625
8,0.04468182846903801,0.0766536220908165
9,0.044160082936286926,0.07838064432144165
10,0.045036233961582184,0.06029659882187843
11,0.04452009126543999,0.06411975622177124
12,0.04480654001235962,0.07521871477365494
13,0.04417121410369873,0.05493684858083725
14,0.044015850871801376,0.058977238833904266
15,0.04492078721523285,0.05352932959794998
16,0.04353208839893341,0.06256967782974243
17,0.044372640550136566,0.06979576498270035
18,0.04365764930844307,0.05619229003787041
