,MAE_SEQ,mse_SEQ,r2_SEQ,rmse_SEQ
0,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
1,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
2,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
3,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
4,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
5,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
6,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
7,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
8,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
9,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
10,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
11,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
12,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
13,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
14,0.024583241638776596,0.002337659959128807,0.9703294309738376,0.0483493532441625
