,MAE_CNN,mse_CNN,r2_CNN,rmse_CNN
0,0.05563906264525309,0.005599460539205288,0.7498529954127883,0.0748295432246201
1,0.18587890962096026,0.05452236703020317,-0.022178824844098093,0.2335002505998723
2,0.05129108519397763,0.0043859088277191,0.8129467096125517,0.06622619442274409
3,0.05316543127377709,0.004831256564720256,0.8170567899946097,0.06950724109558842
4,0.03306347914785739,0.002256237528943002,0.9377151317879356,0.04749986872553441
5,0.04432769890216671,0.0037067769572813425,0.8972018514109483,0.06088330606398886
6,0.05383272701980509,0.004853760613708815,0.8284206680573232,0.06966893578711257
7,0.1856283461899444,0.05481518653466805,-0.04550793401128302,0.23412643279789672
8,0.05744095379677506,0.005443796638528027,0.7486204011911018,0.07378208887343884
9,0.05331423274493287,0.0046181197374273635,0.7459420014251362,0.06795674902044214
