,MAE_DNN,mse_DNN,r2_DNN,rmse_DNN
0,0.04863677767424221,0.004589325118996506,0.9032702824414081,0.06774455785519976
1,0.0782476437468011,0.010708472703530215,0.6012915874769534,0.10348175058207228
2,0.1863411213357753,0.05474134446883632,-0.03679027266171042,0.23396868266679693
3,0.041562850862395355,0.003092683973607542,0.8923878555397243,0.055611904962944235
4,0.05554413438351761,0.006587939672975177,0.8408341941151725,0.08116612392479498
5,0.06607973464908781,0.007822589986185064,0.567779429516217,0.08844540681225375
6,0.05905798132243019,0.0063972421929797095,0.8067729284078039,0.07998276184891161
7,0.05945576427099556,0.006276087016463846,0.8166040509020037,0.0792217584787402
8,0.0644882815017923,0.007331702548089074,0.7862437521469895,0.08562536159391722
9,0.06321087626873705,0.00640280193747753,0.8213178633464583,0.0800175101929417
