,MAE_LSTM,mse_LSTM,r2_LSTM,rmse_LSTM
0,0.04615681412540253,0.004522551825039962,0.8958033458181848,0.06724992063222054
1,0.04567406128854607,0.004337758305538389,0.9030570800409258,0.06586166036123284
2,0.0513793991444109,0.005410923624127074,0.8763016254174644,0.07355898058107571
3,0.06311845271461225,0.0071711295093328025,0.8224004933660485,0.08468252186450757
4,0.05284355378645289,0.005367338016254437,0.8610416189761089,0.0732621185624224
5,0.05205242133154469,0.004921160333120503,0.8754840042270096,0.07015098241023074
6,0.04390881841462638,0.004108100889611305,0.9091088145943683,0.0640944684790451
7,0.06389085996594444,0.0077291092496151945,0.85336429330258,0.08791535275260627
8,0.060369739378603286,0.006967845518337421,0.8710438057775413,0.08347362169175016
9,0.06064502557035895,0.0071096098065352165,0.8582653475497674,0.0843185021601737
